a	/a/
desatinasen	/desatinasen/
desatinases	/desatinases/
desatinaste	/desatinaste/
desatinasteis	/desatinasteis/
desatiné	/desatiˈne/
desatine	/desatine/
desatinéis	/desatiˈneis/
desatinemos	/desatinemos/
desatinen	/desatinen/
desatines	/desatines/
desatinó	/desatiˈno/
desatino	/desatino/
desatinos	/desatinos/
desató	/desaˈto/
desato	/desato/
desatolla	/desatoʎa/
desatollaba	/desatoʎaβa/
desatollabais	/desatoʎaβais/
desatollábamos	/desatoˈʎaβamos/
desatollaban	/desatoʎaβan/
desatollabas	/desatoʎaβas/
desatollad	/desatoʎað/
desatollada	/desatoʎaða/
desatolladas	/desatoʎaðas/
desatollado	/desatoʎaðo/
desatollados	/desatoʎaðos/
desatolláis	/desatoˈʎais/
desatollamos	/desatoʎamos/
desatollan	/desatoʎan/
desatollando	/desatoʎando/
desatollar	/desatoʎaɾ/
desatollará	/desatoʎaˈɾa/
desatollara	/desatoʎaɾa/
desatollarais	/desatoʎaɾais/
desatolláramos	/desatoˈʎaɾamos/
desatollarán	/desatoʎaˈɾan/
desatollaran	/desatoʎaɾan/
desatollarás	/desatoʎaˈɾas/
desatollaras	/desatoʎaɾas/
desatollaré	/desatoʎaˈɾe/
desatollare	/desatoʎaɾe/
desatollaréis	/desatoʎaˈɾeis/
desatollareis	/desatoʎaɾeis/
desatolláremos	/desatoˈʎaɾemos/
desatollaremos	/desatoʎaɾemos/
desatollaren	/desatoʎaɾen/
desatollares	/desatoʎaɾes/
desatollaría	/desatoʎaˈɾia/
desatollaríais	/desatoʎaˈɾiais/
desatollaríamos	/desatoʎaˈɾiamos/
desatollarían	/desatoʎaˈɾian/
desatollarías	/desatoʎaˈɾias/
desatollaron	/desatoʎaɾon/
desatollas	/desatoʎas/
desatollase	/desatoʎase/
desatollaseis	/desatoʎaseis/
desatollásemos	/desatoˈʎasemos/
desatollasen	/desatoʎasen/
desatollases	/desatoʎases/
desatollaste	/desatoʎaste/
desatollasteis	/desatoʎasteis/
desatollé	/desatoˈʎe/
desatolle	/desatoʎe/
desatolléis	/desatoˈʎeis/
desatollemos	/desatoʎemos/
desatollen	/desatoʎen/
desatolles	/desatoʎes/
desatolló	/desatoˈʎo/
desatollo	/desatoʎo/
desatolondra	/desatolondɾa/
desatolondraba	/desatolondɾaβa/
desatolondrabais	/desatolondɾaβais/
desatolondrábamos	/desatolonˈdɾaβamos/
desatolondraban	/desatolondɾaβan/
desatolondrabas	/desatolondɾaβas/
desatolondrad	/desatolondɾað/
desatolondrada	/desatolondɾaða/
desatolondradas	/desatolondɾaðas/
desatolondrado	/desatolondɾaðo/
desatolondrados	/desatolondɾaðos/
desatolondráis	/desatolonˈdɾais/
desatolondramos	/desatolondɾamos/
desatolondran	/desatolondɾan/
desatolondrando	/desatolondɾando/
desatolondrar	/desatolondɾaɾ/
desatolondrará	/desatolondɾaˈɾa/
desatolondrara	/desatolondɾaɾa/
desatolondrarais	/desatolondɾaɾais/
desatolondráramos	/desatolonˈdɾaɾamos/
desatolondrarán	/desatolondɾaˈɾan/
desatolondraran	/desatolondɾaɾan/
desatolondrarás	/desatolondɾaˈɾas/
desatolondraras	/desatolondɾaɾas/
desatolondraré	/desatolondɾaˈɾe/
desatolondrare	/desatolondɾaɾe/
desatolondraréis	/desatolondɾaˈɾeis/
desatolondrareis	/desatolondɾaɾeis/
desatolondráremos	/desatolonˈdɾaɾemos/
desatolondraremos	/desatolondɾaɾemos/
desatolondraren	/desatolondɾaɾen/
desatolondrares	/desatolondɾaɾes/
desatolondraría	/desatolondɾaˈɾia/
desatolondraríais	/desatolondɾaˈɾiais/
desatolondraríamos	/desatolondɾaˈɾiamos/
desatolondrarían	/desatolondɾaˈɾian/
desatolondrarías	/desatolondɾaˈɾias/
desatolondraron	/desatolondɾaɾon/
desatolondras	/desatolondɾas/
desatolondrase	/desatolondɾase/
desatolondraseis	/desatolondɾaseis/
desatolondrásemos	/desatolonˈdɾasemos/
desatolondrasen	/desatolondɾasen/
desatolondrases	/desatolondɾases/
desatolondraste	/desatolondɾaste/
desatolondrasteis	/desatolondɾasteis/
desatolondré	/desatolonˈdɾe/
desatolondre	/desatolondɾe/
desatolondréis	/desatolonˈdɾeis/
desatolondremos	/desatolondɾemos/
desatolondren	/desatolondɾen/
desatolondres	/desatolondɾes/
desatolondró	/desatolonˈdɾo/
desatolondro	/desatolondɾo/
desatora	/desatoɾa/
desatoraba	/desatoɾaβa/
desatorabais	/desatoɾaβais/
desatorábamos	/desatoˈɾaβamos/
desatoraban	/desatoɾaβan/
desatorabas	/desatoɾaβas/
desatorad	/desatoɾað/
desatorada	/desatoɾaða/
desatoradas	/desatoɾaðas/
desatorado	/desatoɾaðo/
desatorados	/desatoɾaðos/
desatoráis	/desatoˈɾais/
desatoramos	/desatoɾamos/
desatoran	/desatoɾan/
desatorando	/desatoɾando/
desatorar	/desatoɾaɾ/
desatorará	/desatoɾaˈɾa/
desatorara	/desatoɾaɾa/
desatorarais	/desatoɾaɾais/
desatoráramos	/desatoˈɾaɾamos/
desatorarán	/desatoɾaˈɾan/
desatoraran	/desatoɾaɾan/
desatorarás	/desatoɾaˈɾas/
desatoraras	/desatoɾaɾas/
desatoraré	/desatoɾaˈɾe/
desatorare	/desatoɾaɾe/
desatoraréis	/desatoɾaˈɾeis/
desatorareis	/desatoɾaɾeis/
desatoráremos	/desatoˈɾaɾemos/
desatoraremos	/desatoɾaɾemos/
desatoraren	/desatoɾaɾen/
desatorares	/desatoɾaɾes/
desatoraría	/desatoɾaˈɾia/
desatoraríais	/desatoɾaˈɾiais/
desatoraríamos	/desatoɾaˈɾiamos/
desatorarían	/desatoɾaˈɾian/
desatorarías	/desatoɾaˈɾias/
desatoraron	/desatoɾaɾon/
desatoras	/desatoɾas/
desatorase	/desatoɾase/
desatoraseis	/desatoɾaseis/
desatorásemos	/desatoˈɾasemos/
desatorasen	/desatoɾasen/
desatorases	/desatoɾases/
desatoraste	/desatoɾaste/
desatorasteis	/desatoɾasteis/
desatoré	/desatoˈɾe/
desatore	/desatoɾe/
desatoréis	/desatoˈɾeis/
desatoremos	/desatoɾemos/
desatoren	/desatoɾen/
desatores	/desatoɾes/
desatornilla	/desatoɾniʎa/
desatornillaba	/desatoɾniʎaβa/
desatornillabais	/desatoɾniʎaβais/
desatornillábamos	/desatoɾniˈʎaβamos/
desatornillaban	/desatoɾniʎaβan/
desatornillabas	/desatoɾniʎaβas/
desatornillad	/desatoɾniʎað/
desatornillada	/desatoɾniʎaða/
desatornilladas	/desatoɾniʎaðas/
desatornillado	/desatoɾniʎaðo/
desatornillados	/desatoɾniʎaðos/
desatornilláis	/desatoɾniˈʎais/
desatornillamos	/desatoɾniʎamos/
desatornillan	/desatoɾniʎan/
desatornillando	/desatoɾniʎando/
desatornillar	/desatoɾniʎaɾ/
desatornillará	/desatoɾniʎaˈɾa/
desatornillara	/desatoɾniʎaɾa/
desatornillarais	/desatoɾniʎaɾais/
desatornilláramos	/desatoɾniˈʎaɾamos/
desatornillarán	/desatoɾniʎaˈɾan/
desatornillaran	/desatoɾniʎaɾan/
desatornillarás	/desatoɾniʎaˈɾas/
desatornillaras	/desatoɾniʎaɾas/
desatornillaré	/desatoɾniʎaˈɾe/
desatornillare	/desatoɾniʎaɾe/
desatornillaréis	/desatoɾniʎaˈɾeis/
desatornillareis	/desatoɾniʎaɾeis/
desatornilláremos	/desatoɾniˈʎaɾemos/
desatornillaremos	/desatoɾniʎaɾemos/
desatornillaren	/desatoɾniʎaɾen/
desatornillares	/desatoɾniʎaɾes/
desatornillaría	/desatoɾniʎaˈɾia/
desatornillaríais	/desatoɾniʎaˈɾiais/
desatornillaríamos	/desatoɾniʎaˈɾiamos/
desatornillarían	/desatoɾniʎaˈɾian/
desatornillarías	/desatoɾniʎaˈɾias/
desatornillaron	/desatoɾniʎaɾon/
desatornillas	/desatoɾniʎas/
desatornillase	/desatoɾniʎase/
desatornillaseis	/desatoɾniʎaseis/
desatornillásemos	/desatoɾniˈʎasemos/
desatornillasen	/desatoɾniʎasen/
desatornillases	/desatoɾniʎases/
desatornillaste	/desatoɾniʎaste/
desatornillasteis	/desatoɾniʎasteis/
desatornillé	/desatoɾniˈʎe/
desatornille	/desatoɾniʎe/
desatornilléis	/desatoɾniˈʎeis/
desatornillemos	/desatoɾniʎemos/
desatornillen	/desatoɾniʎen/
desatornilles	/desatoɾniʎes/
desatornilló	/desatoɾniˈʎo/
desatornillo	/desatoɾniʎo/
desatoró	/desatoˈɾo/
desatoro	/desatoɾo/
desatraca	/desatɾaka/
desatracaba	/desatɾakaβa/
desatracabais	/desatɾakaβais/
desatracábamos	/desatɾaˈkaβamos/
desatracaban	/desatɾakaβan/
desatracabas	/desatɾakaβas/
desatracad	/desatɾakað/
desatracada	/desatɾakaða/
desatracadas	/desatɾakaðas/
desatracado	/desatɾakaðo/
desatracados	/desatɾakaðos/
desatracáis	/desatɾaˈkais/
desatracamos	/desatɾakamos/
desatracan	/desatɾakan/
desatracando	/desatɾakando/
desatracar	/desatɾakaɾ/
desatracará	/desatɾakaˈɾa/
desatracara	/desatɾakaɾa/
desatracarais	/desatɾakaɾais/
desatracáramos	/desatɾaˈkaɾamos/
desatracarán	/desatɾakaˈɾan/
desatracaran	/desatɾakaɾan/
desatracarás	/desatɾakaˈɾas/
desatracaras	/desatɾakaɾas/
desatracaré	/desatɾakaˈɾe/
desatracare	/desatɾakaɾe/
desatracaréis	/desatɾakaˈɾeis/
desatracareis	/desatɾakaɾeis/
desatracáremos	/desatɾaˈkaɾemos/
desatracaremos	/desatɾakaɾemos/
desatracaren	/desatɾakaɾen/
desatracares	/desatɾakaɾes/
desatracaría	/desatɾakaˈɾia/
desatracaríais	/desatɾakaˈɾiais/
desatracaríamos	/desatɾakaˈɾiamos/
desatracarían	/desatɾakaˈɾian/
desatracarías	/desatɾakaˈɾias/
desatracaron	/desatɾakaɾon/
desatracas	/desatɾakas/
desatracase	/desatɾakase/
desatracaseis	/desatɾakaseis/
desatracásemos	/desatɾaˈkasemos/
desatracasen	/desatɾakasen/
desatracases	/desatɾakases/
desatracaste	/desatɾakaste/
desatracasteis	/desatɾakasteis/
desatracó	/desatɾaˈko/
desatraco	/desatɾako/
desatrae	/desatɾae/
desatraed	/desatɾaeð/
desatraéis	/desatɾaˈeis/
desatraemos	/desatɾaemos/
desatraen	/desatɾaen/
desatraer	/desatɾaeɾ/
desatraerá	/desatɾaeˈɾa/
desatraerán	/desatɾaeˈɾan/
desatraerás	/desatɾaeˈɾas/
desatraeré	/desatɾaeˈɾe/
desatraeréis	/desatɾaeˈɾeis/
desatraeremos	/desatɾaeɾemos/
desatraería	/desatɾaeˈɾia/
desatraeríais	/desatɾaeˈɾiais/
desatraeríamos	/desatɾaeˈɾiamos/
desatraerían	/desatɾaeˈɾian/
desatraerías	/desatɾaeˈɾias/
desatraes	/desatɾaes/
desatraía	/desatɾaˈia/
desatraíais	/desatɾaˈiais/
desatraíamos	/desatɾaˈiamos/
desatraían	/desatɾaˈian/
desatraías	/desatɾaˈias/
desatraída	/desatɾaˈiða/
desatraídas	/desatɾaˈiðas/
desatraído	/desatɾaˈiðo/
desatraídos	/desatɾaˈiðos/
desatraiga	/desatɾaiɣa/
desatraigáis	/desatɾaiˈɣais/
desatraigamos	/desatɾaiɣamos/
desatraigan	/desatɾaiɣan/
desatraigas	/desatɾaiɣas/
desatraigo	/desatɾaiɣo/
desatrailla	/desatɾaiʎa/
desatraillaba	/desatɾaiʎaβa/
desatraillabais	/desatɾaiʎaβais/
desatraillábamos	/desatɾaiˈʎaβamos/
desatraillaban	/desatɾaiʎaβan/
desatraillabas	/desatɾaiʎaβas/
desatraillad	/desatɾaiʎað/
desatraillada	/desatɾaiʎaða/
desatrailladas	/desatɾaiʎaðas/
desatraillado	/desatɾaiʎaðo/
desatraillados	/desatɾaiʎaðos/
desatrailláis	/desatɾaiˈʎais/
desatraillamos	/desatɾaiʎamos/
desatraillan	/desatɾaiʎan/
desatraillando	/desatɾaiʎando/
desatraillar	/desatɾaiʎaɾ/
desatraillará	/desatɾaiʎaˈɾa/
desatraillara	/desatɾaiʎaɾa/
desatraillarais	/desatɾaiʎaɾais/
desatrailláramos	/desatɾaiˈʎaɾamos/
desatraillarán	/desatɾaiʎaˈɾan/
desatraillaran	/desatɾaiʎaɾan/
desatraillarás	/desatɾaiʎaˈɾas/
desatraillaras	/desatɾaiʎaɾas/
desatraillaré	/desatɾaiʎaˈɾe/
desatraillare	/desatɾaiʎaɾe/
desatraillaréis	/desatɾaiʎaˈɾeis/
desatraillareis	/desatɾaiʎaɾeis/
desatrailláremos	/desatɾaiˈʎaɾemos/
desatraillaremos	/desatɾaiʎaɾemos/
desatraillaren	/desatɾaiʎaɾen/
desatraillares	/desatɾaiʎaɾes/
desatraillaría	/desatɾaiʎaˈɾia/
desatraillaríais	/desatɾaiʎaˈɾiais/
desatraillaríamos	/desatɾaiʎaˈɾiamos/
desatraillarían	/desatɾaiʎaˈɾian/
desatraillarías	/desatɾaiʎaˈɾias/
desatraillaron	/desatɾaiʎaɾon/
desatraillas	/desatɾaiʎas/
desatraillase	/desatɾaiʎase/
desatraillaseis	/desatɾaiʎaseis/
desatraillásemos	/desatɾaiˈʎasemos/
desatraillasen	/desatɾaiʎasen/
desatraillases	/desatɾaiʎases/
desatraillaste	/desatɾaiʎaste/
desatraillasteis	/desatɾaiʎasteis/
desatraillé	/desatɾaiˈʎe/
desatraille	/desatɾaiʎe/
desatrailléis	/desatɾaiˈʎeis/
desatraillemos	/desatɾaiʎemos/
desatraillen	/desatɾaiʎen/
desatrailles	/desatɾaiʎes/
desatrailló	/desatɾaiˈʎo/
desatraillo	/desatɾaiʎo/
desatraje	/desatɾaxe/
desatrajera	/desatɾaxeɾa/
desatrajerais	/desatɾaxeɾais/
desatrajéramos	/desatɾaˈxeɾamos/
desatrajeran	/desatɾaxeɾan/
desatrajeras	/desatɾaxeɾas/
desatrajere	/desatɾaxeɾe/
desatrajereis	/desatɾaxeɾeis/
desatrajéremos	/desatɾaˈxeɾemos/
desatrajeren	/desatɾaxeɾen/
desatrajeres	/desatɾaxeɾes/
desatrajeron	/desatɾaxeɾon/
desatrajese	/desatɾaxese/
desatrajeseis	/desatɾaxeseis/
desatrajésemos	/desatɾaˈxesemos/
desatrajesen	/desatɾaxesen/
desatrajeses	/desatɾaxeses/
desatrajimos	/desatɾaximos/
desatrajiste	/desatɾaxiste/
desatrajisteis	/desatɾaxisteis/
desatrajo	/desatɾaxo/
desatrampa	/desatɾampa/
desatrampaba	/desatɾampaβa/
desatrampabais	/desatɾampaβais/
desatrampábamos	/desatɾaˈmpaβamos/
desatrampaban	/desatɾampaβan/
desatrampabas	/desatɾampaβas/
desatrampad	/desatɾampað/
desatrampada	/desatɾampaða/
desatrampadas	/desatɾampaðas/
desatrampado	/desatɾampaðo/
desatrampados	/desatɾampaðos/
desatrampáis	/desatɾaˈmpais/
desatrampamos	/desatɾampamos/
desatrampan	/desatɾampan/
desatrampando	/desatɾampando/
desatrampar	/desatɾampaɾ/
desatrampará	/desatɾampaˈɾa/
desatrampara	/desatɾampaɾa/
desatramparais	/desatɾampaɾais/
desatrampáramos	/desatɾaˈmpaɾamos/
desatramparán	/desatɾampaˈɾan/
desatramparan	/desatɾampaɾan/
desatramparás	/desatɾampaˈɾas/
desatramparas	/desatɾampaɾas/
desatramparé	/desatɾampaˈɾe/
desatrampare	/desatɾampaɾe/
desatramparéis	/desatɾampaˈɾeis/
desatrampareis	/desatɾampaɾeis/
desatrampáremos	/desatɾaˈmpaɾemos/
desatramparemos	/desatɾampaɾemos/
desatramparen	/desatɾampaɾen/
desatrampares	/desatɾampaɾes/
desatramparía	/desatɾampaˈɾia/
desatramparíais	/desatɾampaˈɾiais/
desatramparíamos	/desatɾampaˈɾiamos/
desatramparían	/desatɾampaˈɾian/
desatramparías	/desatɾampaˈɾias/
desatramparon	/desatɾampaɾon/
desatrampas	/desatɾampas/
desatrampase	/desatɾampase/
desatrampaseis	/desatɾampaseis/
desatrampásemos	/desatɾaˈmpasemos/
desatrampasen	/desatɾampasen/
desatrampases	/desatɾampases/
desatrampaste	/desatɾampaste/
desatrampasteis	/desatɾampasteis/
desatrampé	/desatɾaˈmpe/
desatrampe	/desatɾampe/
desatrampéis	/desatɾaˈmpeis/
desatrampemos	/desatɾampemos/
desatrampen	/desatɾampen/
desatrampes	/desatɾampes/
desatrampó	/desatɾaˈmpo/
desatrampo	/desatɾampo/
desatranca	/desatɾaŋka/
desatrancaba	/desatɾaŋkaβa/
desatrancabais	/desatɾaŋkaβais/
desatrancábamos	/desatɾaˈŋkaβamos/
desatrancaban	/desatɾaŋkaβan/
desatrancabas	/desatɾaŋkaβas/
desatrancad	/desatɾaŋkað/
desatrancada	/desatɾaŋkaða/
desatrancadas	/desatɾaŋkaðas/
desatrancado	/desatɾaŋkaðo/
desatrancados	/desatɾaŋkaðos/
desatrancáis	/desatɾaˈŋkais/
desatrancamos	/desatɾaŋkamos/
desatrancan	/desatɾaŋkan/
desatrancando	/desatɾaŋkando/
desatrancar	/desatɾaŋkaɾ/
desatrancará	/desatɾaŋkaˈɾa/
desatrancara	/desatɾaŋkaɾa/
desatrancarais	/desatɾaŋkaɾais/
desatrancáramos	/desatɾaˈŋkaɾamos/
desatrancarán	/desatɾaŋkaˈɾan/
desatrancaran	/desatɾaŋkaɾan/
desatrancarás	/desatɾaŋkaˈɾas/
desatrancaras	/desatɾaŋkaɾas/
desatrancaré	/desatɾaŋkaˈɾe/
desatrancare	/desatɾaŋkaɾe/
desatrancaréis	/desatɾaŋkaˈɾeis/
desatrancareis	/desatɾaŋkaɾeis/
desatrancáremos	/desatɾaˈŋkaɾemos/
desatrancaremos	/desatɾaŋkaɾemos/
desatrancaren	/desatɾaŋkaɾen/
desatrancares	/desatɾaŋkaɾes/
desatrancaría	/desatɾaŋkaˈɾia/
desatrancaríais	/desatɾaŋkaˈɾiais/
desatrancaríamos	/desatɾaŋkaˈɾiamos/
desatrancarían	/desatɾaŋkaˈɾian/
desatrancarías	/desatɾaŋkaˈɾias/
desatrancaron	/desatɾaŋkaɾon/
desatrancas	/desatɾaŋkas/
desatrancase	/desatɾaŋkase/
desatrancaseis	/desatɾaŋkaseis/
desatrancásemos	/desatɾaˈŋkasemos/
desatrancasen	/desatɾaŋkasen/
desatrancases	/desatɾaŋkases/
desatrancaste	/desatɾaŋkaste/
desatrancasteis	/desatɾaŋkasteis/
desatrancó	/desatɾaˈŋko/
desatranco	/desatɾaŋko/
desatranqué	/desatɾaˈŋke/
desatranque	/desatɾaŋke/
desatranquéis	/desatɾaˈŋkeis/
desatranquemos	/desatɾaŋkemos/
desatranquen	/desatɾaŋken/
desatranques	/desatɾaŋkes/
desatraqué	/desatɾaˈke/
desatraque	/desatɾake/
desatraquéis	/desatɾaˈkeis/
desatraquemos	/desatɾakemos/
desatraquen	/desatɾaken/
desatraques	/desatɾakes/
desatrayendo	/desatɾaʝendo/
desaturda	/desatuɾða/
desaturdáis	/desatuˈɾðais/
desaturdamos	/desatuɾðamos/
desaturdan	/desatuɾðan/
desaturdas	/desatuɾðas/
desaturde	/desatuɾðe/
desaturden	/desatuɾðen/
desaturdes	/desatuɾðes/
desaturdí	/desatuˈɾði/
desaturdía	/desatuˈɾðia/
desaturdíais	/desatuˈɾðiais/
desaturdíamos	/desatuˈɾðiamos/
desaturdían	/desatuˈɾðian/
desaturdías	/desatuˈɾðias/
desaturdid	/desatuɾðið/
desaturdida	/desatuɾðiða/
desaturdidas	/desatuɾðiðas/
desaturdido	/desatuɾðiðo/
desaturdidos	/desatuɾðiðos/
desaturdiendo	/desatuɾðjendo/
desaturdiera	/desatuɾðjeɾa/
desaturdierais	/desatuɾðjeɾais/
desaturdiéramos	/desatuˈɾðjeɾamos/
desaturdieran	/desatuɾðjeɾan/
desaturdieras	/desatuɾðjeɾas/
desaturdiere	/desatuɾðjeɾe/
desaturdiereis	/desatuɾðjeɾeis/
desaturdiéremos	/desatuˈɾðjeɾemos/
desaturdieren	/desatuɾðjeɾen/
desaturdieres	/desatuɾðjeɾes/
desaturdieron	/desatuɾðjeɾon/
desaturdiese	/desatuɾðjese/
desaturdieseis	/desatuɾðjeseis/
desaturdiésemos	/desatuˈɾðjesemos/
desaturdiesen	/desatuɾðjesen/
desaturdieses	/desatuɾðjeses/
desaturdimos	/desatuɾðimos/
desaturdió	/desatuˈɾðjo/
desaturdir	/desatuɾðiɾ/
desaturdirá	/desatuɾðiˈɾa/
desaturdirán	/desatuɾðiˈɾan/
desaturdirás	/desatuɾðiˈɾas/
desaturdiré	/desatuɾðiˈɾe/
desaturdiréis	/desatuɾðiˈɾeis/
desaturdiremos	/desatuɾðiɾemos/
desaturdiría	/desatuɾðiˈɾia/
desaturdiríais	/desatuɾðiˈɾiais/
desaturdiríamos	/desatuɾðiˈɾiamos/
desaturdirían	/desatuɾðiˈɾian/
desaturdirías	/desatuɾðiˈɾias/
desaturdís	/desatuˈɾðis/
desaturdiste	/desatuɾðiste/
desaturdisteis	/desatuɾðisteis/
desaturdo	/desatuɾðo/
desautoricé	/desautoɾiˈse/
desautorice	/desautoɾise/
desautoricéis	/desautoɾiˈseis/
desautoricemos	/desautoɾisemos/
desautoricen	/desautoɾisen/
desautorices	/desautoɾises/
desautoridad	/desautoɾiðað/
desautoridades	/desautoɾiðaðes/
desautoriza	/desautoɾisa/
desautorizaba	/desautoɾisaβa/
desautorizabais	/desautoɾisaβais/
desautorizábamos	/desautoɾiˈsaβamos/
desautorizaban	/desautoɾisaβan/
desautorizabas	/desautoɾisaβas/
desautorización	/desautoɾisaˈsjon/
desautorizaciones	/desautoɾisasjones/
desautorizad	/desautoɾisað/
desautorizada	/desautoɾisaða/
desautorizadas	/desautoɾisaðas/
desautorizado	/desautoɾisaðo/
desautorizados	/desautoɾisaðos/
desautorizáis	/desautoɾiˈsais/
desautorizamos	/desautoɾisamos/
desautorizan	/desautoɾisan/
desautorizando	/desautoɾisando/
desautorizándola	/desautoɾiˈsandola/
desautorizándolas	/desautoɾiˈsandolas/
desautorizándole	/desautoɾiˈsandole/
desautorizándoles	/desautoɾiˈsandoles/
desautorizándolo	/desautoɾiˈsandolo/
desautorizándolos	/desautoɾiˈsandolos/
desautorizándome	/desautoɾiˈsandome/
desautorizándonos	/desautoɾiˈsandonos/
desautorizándoos	/desautoɾiˈsandoos/
desautorizándose	/desautoɾiˈsandose/
desautorizándote	/desautoɾiˈsandote/
desautorizar	/desautoɾisaɾ/
desautorizará	/desautoɾisaˈɾa/
desautorizara	/desautoɾisaɾa/
desautorizarais	/desautoɾisaɾais/
desautorizáramos	/desautoɾiˈsaɾamos/
desautorizarán	/desautoɾisaˈɾan/
desautorizaran	/desautoɾisaɾan/
desautorizarás	/desautoɾisaˈɾas/
desautorizaras	/desautoɾisaɾas/
desautorizaré	/desautoɾisaˈɾe/
desautorizare	/desautoɾisaɾe/
desautorizaréis	/desautoɾisaˈɾeis/
desautorizareis	/desautoɾisaɾeis/
desautorizáremos	/desautoɾiˈsaɾemos/
desautorizaremos	/desautoɾisaɾemos/
desautorizaren	/desautoɾisaɾen/
desautorizares	/desautoɾisaɾes/
desautorizaría	/desautoɾisaˈɾia/
desautorizaríais	/desautoɾisaˈɾiais/
desautorizaríamos	/desautoɾisaˈɾiamos/
desautorizarían	/desautoɾisaˈɾian/
desautorizarías	/desautoɾisaˈɾias/
desautorizarla	/desautoɾisaɾla/
desautorizarlas	/desautoɾisaɾlas/
desautorizarle	/desautoɾisaɾle/
desautorizarles	/desautoɾisaɾles/
desautorizarlo	/desautoɾisaɾlo/
desautorizarlos	/desautoɾisaɾlos/
desautorizarme	/desautoɾisaɾme/
desautorizarnos	/desautoɾisaɾnos/
desautorizaron	/desautoɾisaɾon/
desautorizaros	/desautoɾisaɾos/
desautorizarse	/desautoɾisaɾse/
desautorizarte	/desautoɾisaɾte/
desautorizas	/desautoɾisas/
desautorizase	/desautoɾisase/
desautorizaseis	/desautoɾisaseis/
desautorizásemos	/desautoɾiˈsasemos/
desautorizasen	/desautoɾisasen/
desautorizases	/desautoɾisases/
desautorizaste	/desautoɾisaste/
desautorizasteis	/desautoɾisasteis/
desautorizó	/desautoɾiˈso/
desautorizo	/desautoɾiso/
desavaha	/desaβaa/
desavahaba	/desaβaaβa/
desavahabais	/desaβaaβais/
desavahábamos	/desaβaˈaβamos/
desavahaban	/desaβaaβan/
desavahabas	/desaβaaβas/
desavahad	/desaβaað/
desavahada	/desaβaaða/
desavahadas	/desaβaaðas/
desavahado	/desaβaaðo/
desavahados	/desaβaaðos/
desavaháis	/desaβaˈais/
desavahamiento	/desaβaamjento/
desavahamientos	/desaβaamjentos/
desavahamos	/desaβaamos/
desavahan	/desaβaan/
desavahando	/desaβaando/
desavahar	/desaβaaɾ/
desavahará	/desaβaaˈɾa/
desavahara	/desaβaaɾa/
desavaharais	/desaβaaɾais/
desavaháramos	/desaβaˈaɾamos/
desavaharán	/desaβaaˈɾan/
desavaharan	/desaβaaɾan/
desavaharás	/desaβaaˈɾas/
desavaharas	/desaβaaɾas/
desavaharé	/desaβaaˈɾe/
desavahare	/desaβaaɾe/
desavaharéis	/desaβaaˈɾeis/
desavahareis	/desaβaaɾeis/
desavaháremos	/desaβaˈaɾemos/
desavaharemos	/desaβaaɾemos/
desavaharen	/desaβaaɾen/
desavahares	/desaβaaɾes/
desavaharía	/desaβaaˈɾia/
desavaharíais	/desaβaaˈɾiais/
desavaharíamos	/desaβaaˈɾiamos/
desavaharían	/desaβaaˈɾian/
desavaharías	/desaβaaˈɾias/
desavaharon	/desaβaaɾon/
desavahas	/desaβaas/
desavahase	/desaβaase/
desavahaseis	/desaβaaseis/
desavahásemos	/desaβaˈasemos/
desavahasen	/desaβaasen/
desavahases	/desaβaases/
desavahaste	/desaβaaste/
desavahasteis	/desaβaasteis/
desavahé	/desaβaˈe/
desavahe	/desaβae/
desavahéis	/desaβaˈeis/
desavahemos	/desaβaemos/
desavahen	/desaβaen/
desavahes	/desaβaes/
desavahó	/desaβaˈo/
desavaho	/desaβao/
desavecindada	/desaβesindaða/
desavecindadas	/desaβesindaðas/
desavecindado	/desaβesindaðo/
desavecindados	/desaβesindaðos/
desavendrá	/desaβenˈdɾa/
desavendrán	/desaβenˈdɾan/
desavendrás	/desaβenˈdɾas/
desavendré	/desaβenˈdɾe/
desavendréis	/desaβenˈdɾeis/
desavendremos	/desaβendɾemos/
desavendría	/desaβenˈdɾia/
desavendríais	/desaβenˈdɾiais/
desavendríamos	/desaβenˈdɾiamos/
desavendrían	/desaβenˈdɾian/
desavendrías	/desaβenˈdɾias/
desavenencia	/desaβenensja/
desavenencias	/desaβenensjas/
desavenga	/desaβeŋga/
desavengáis	/desaβeˈŋgais/
desavengamos	/desaβeŋgamos/
desavengan	/desaβeŋgan/
desavengas	/desaβeŋgas/
desavengo	/desaβeŋgo/
desavenía	/desaβeˈnia/
desaveníais	/desaβeˈniais/
desaveníamos	/desaβeˈniamos/
desavenían	/desaβeˈnian/
desavenías	/desaβeˈnias/
desavenid	/desaβenið/
desavenida	/desaβeniða/
desavenidas	/desaβeniðas/
desavenido	/desaβeniðo/
desavenidos	/desaβeniðos/
desavenimos	/desaβenimos/
desavenir	/desaβeniɾ/
desavenís	/desaβeˈnis/
desaventura	/desaβentuɾa/
desaventuras	/desaβentuɾas/
desavía	/desaˈβia/
desaviaba	/desaβjaβa/
desaviabais	/desaβjaβais/
desaviábamos	/desaˈβjaβamos/
desaviaban	/desaβjaβan/
desaviabas	/desaβjaβas/
desaviad	/desaβjað/
desaviada	/desaβjaða/
desaviadas	/desaβjaðas/
desaviado	/desaβjaðo/
